F01-A1-F-12,F01,F,F0-B-M_A1,F0-A-F_A1
F01-A1-M-06,F01,M,F0-B-M_A1,F0-A-F_A1
F01-B1-F-03,F01,F,F0-B-M_B1,F0-A-F_B1
F01-B1-M-08,F01,M,F0-B-M_B1,F0-A-F_B1
F01-C1-F-10,F01,F,F0-B-M_C1,F0-A-F_C1
F01-C1-M-05,F01,M,F0-B-M_C1,F0-A-F_C1
F01-D1-F-04,F01,F,F0-B-M_D1,F0-A-F_D1
F01-D1-F-08,F01,F,F0-B-M_D1,F0-A-F_D1
F01-D1-M-11,F01,M,F0-B-M_D1,F0-A-F_D1
F01-E1-F-07,F01,F,F0-B-M_E1,F0-A-F_E1
F01-E1-M-11,F01,M,F0-B-M_E1,F0-A-F_E1
F01-E1-M-12,F01,M,F0-B-M_E1,F0-A-F_E1
F01-F1-F-06,F01,F,F0-B-M_F1,F0-A-F_F1
F01-F1-M-08,F01,M,F0-B-M_F1,F0-A-F_F1
F01-G1-F-03,F01,F,F0-B-M_G1,F0-A-F_G1
F01-G1-M-09,F01,M,F0-B-M_G1,F0-A-F_G1
F01-H1-F-08,F01,F,F0-B-M_H1,F0-A-F_H1
F01-H1-M-15,F01,M,F0-B-M_H1,F0-A-F_H1
F01-I1-F-03,F01,F,F0-B-M_I1,F0-A-F_I1
F01-I1-M-12,F01,M,F0-B-M_I1,F0-A-F_I1
F01-J1-F-02,F01,F,F0-B-M_J1,F0-A-F_J1
F01-K1-M-09,F01,M,F0-B-M_K1,F0-A-F_K1
F01-L1-F-05,F01,F,F0-B-M_L1,F0-A-F_L1
F01-L1-M-13,F01,M,F0-B-M_L1,F0-A-F_L1
F01-M1-F-07,F01,F,F0-B-M_M1,F0-A-F_M1
F01-M1-M-14,F01,M,F0-B-M_M1,F0-A-F_M1
F01-N1-F-01,F01,F,F0-B-M_N1,F0-A-F_N1
F01-N1-M-06,F01,M,F0-B-M_N1,F0-A-F_N1
F02-A1-F-04,F02,F,F01-A1-M-06,F01-B1-F-03
F02-A1-M-07,F02,M,F01-A1-M-06,F01-B1-F-03
F02-A1-M-08,F02,M,F01-A1-M-06,F01-B1-F-03
F02-B1-F-06,F02,F,F01-B1-M-08,F01-C1-F-10
F02-B1-F-07,F02,F,F01-B1-M-08,F01-C1-F-10
F02-B1-M-11,F02,M,F01-B1-M-08,F01-C1-F-10
F02-C1-F-05,F02,F,F01-C1-M-05,F01-D1-F-08
F02-C1-M-12,F02,M,F01-C1-M-05,F01-D1-F-08
F02-D1-F-03,F02,F,F01-D1-M-11,F01-E1-F-07
F02-D1-M-14,F02,M,F01-D1-M-11,F01-E1-F-07
F02-E1-F-04,F02,F,F01-E1-M-12,F01-F1-F-06
F02-E1-M-14,F02,M,F01-E1-M-12,F01-F1-F-06
F02-F1-F-02,F02,F,F01-F1-M-08,F01-G1-F-03
F02-F1-M-11,F02,M,F01-F1-M-08,F01-G1-F-03
F02-G1-F-02,F02,F,F01-G1-M-09,F01-H1-F-08
F02-H1-F-05,F02,F,F01-H1-M-15,F01-I1-F-03
F02-H1-M-08,F02,M,F01-H1-M-15,F01-I1-F-03
F02-I1-M-11,F02,M,F01-I1-M-12,F01-J1-F-02
F02-K1-F-01,F02,F,F01-K1-M-09,F01-L1-F-05
F02-K1-M-16,F02,M,F01-K1-M-09,F01-L1-F-05
F02-L1-F-04,F02,F,F01-L1-M-13,F01-M1-F-07
F02-L1-M-14,F02,M,F01-L1-M-13,F01-M1-F-07
F02-M1-F-03,F02,F,F01-M1-M-14,F01-N1-F-01
F02-M1-M-10,F02,M,F01-M1-M-14,F01-N1-F-01
F02-N1-F-07,F02,F,F01-N1-M-06,F01-A1-F-12
F02-N1-M-14,F02,M,F01-N1-M-06,F01-A1-F-12
F02-O1-F-02,F02,F,F01-E1-M-11,F01-D1-F-04
F02-O1-F-04,F02,F,F01-E1-M-11,F01-D1-F-04
F02-O1-M-10,F02,M,F01-E1-M-11,F01-D1-F-04
F02-O1-M-14,F02,M,F01-E1-M-11,F01-D1-F-04
F03-A1-F-02,F03,F,F02-A1-M-07,F02-C1-F-05
F03-A1-M-13,F03,M,F02-A1-M-07,F02-C1-F-05
F03-B1-F-03,F03,F,F02-B1-M-11,F02-D1-F-03
F03-B1-M-08,F03,M,F02-B1-M-11,F02-D1-F-03
F03-C1-F-02,F03,F,F02-C1-M-12,F02-E1-F-04
F03-C1-M-07,F03,M,F02-C1-M-12,F02-E1-F-04
F03-D1-F-12,F03,F,F02-D1-M-14,F02-F1-F-02
